,SS,X0_1,X0_2,X0_3,X0_4,X1_1,X1_2,X1_3,X1_4,X2_1,X2_2,X2_3,X2_4,X3_1,X3_2,X3_3,X3_4,X4_1,X4_2,X4_3,X4_4,X5_1,X5_2,X5_3,X5_4,X6_1,X6_2,X6_3,X6_4,X7_1,X7_2,X7_3,X7_4,X8_1,X8_2,X8_3,X8_4,X9_1,X9_2,X9_3,X9_4,X10_1,X10_2,X10_3,X10_4,X12_1,X12_2,X12_3,X12_4,X13_1,X13_2,X13_3,X13_4,X14_1,X14_2,X14_3,X14_4,X15_1,X15_2,X15_3,X15_4,X16_1,X16_2,X16_3,X16_4,X17_1,X17_2,X17_3,X17_4,X18_1,X18_2,X18_3,X18_4,X19_1,X19_2,X19_3,X19_4,X20_1,X20_2,X20_3,X20_4,X21_1,X21_2,X21_3,X21_4,X22_1,X22_2,X22_3,X22_4,X23_1,X23_2,X23_3,X23_4,X24_1,X24_2,X24_3,X24_4,X25_1,X25_2,X25_3,X25_4
1,CL:C-001-1:1,8.55,5.166666667,7.75,5.25,5.866666667,NA,5.416666667,8.266666667,8.55,8,5.316666667,NA,NA,7.966666667,5.666666667,7.7,9.366666667,5.766666667,NA,NA,5.566666667,8.633333333,5.75,NA,6,7.916666667,6.05,NA,NA,5.283333333,6.866666667,6.95,5.95,7.433333333,5.383333333,NA,5.983333333,7.716666667,5.483333333,NA,5.483333333,9.316666667,NA,NA,5.35,6.883333333,NA,7.4,5.7,8.533333333,5.566666667,7.016666667,7.683333333,8.1,7.233333333,8.016666667,7.383333333,6.9,NA,NA,7.966666667,5.216666667,7.883333333,5.45,5.683333333,4.916666667,8.016666667,NA,7.433333333,5.183333333,NA,NA,7.833333333,5.066666667,7.533333333,4.916666667,NA,5.333333333,7.5,6.95,8.4,5.05,NA,6.766666667,5.216666667,8.216666667,5.066666667,NA,7.766666667,8.35,5.516666667,NA,7.966666667,5.25,4.933333333,NA,7.8,NA,6.533333333,NA
2,CL:C-001-2:1,7.916666667,6.133333333,6.65,5.533333333,6.183333333,NA,8.083333333,5.55,6.716666667,5.75,6.65,5.583333333,7.066666667,6.966666667,6.083333333,6.333333333,7.3,5.666666667,7.75,5.816666667,5.733333333,7.333333333,5.833333333,7.916666667,6.066666667,7.433333333,5.566666667,6.883333333,5.933333333,5.65,5.583333333,8.05,6.866666667,5.883333333,6.55,5.733333333,6.4,7.716666667,6.133333333,7.8,6.1,5.983333333,5.6,7.416666667,6.716666667,9.566666667,5.366666667,8.583333333,7.45,5.616666667,7.283333333,5.716666667,5.95,8.85,5.2,8.583333333,11.01666667,5.483333333,9.466666667,NA,7.116666667,6.483333333,6.816666667,5.8,NA,6.8,7.233333333,8.6,9.666666667,5.966666667,NA,6.116666667,5.033333333,5.966666667,6.8,5.666666667,8.083333333,8.4,6.583333333,8.45,7.2,NA,6.966666667,9.916666667,8.733333333,7.066666667,7.433333333,NA,9.683333333,7.616666667,10.15,NA,5.25,5.25,8.4,NA,10.23333333,9.35,9.433333333,NA
3,CL:C-001-3:1,8.366666667,7.316666667,5.816666667,NA,8.483333333,9.333333333,5.75,8.883333333,NA,5.616666667,9.266666667,5.433333333,8.45,NA,NA,NA,8.55,NA,9.516666667,5.533333333,NA,8.916666667,5.383333333,8.666666667,5.65,8.483333333,5.366666667,8.2,6.066666667,5.85,7.783333333,5.616666667,NA,6.966666667,5.633333333,7,5.45,NA,8.866666667,7.866666667,5.483333333,5.183333333,9.183333333,7.116666667,NA,5.516666667,7.133333333,5.2,5.5,9.366666667,4.9,7.566666667,7.366666667,7.366666667,6.983333333,7.516666667,6.866666667,7.416666667,8.15,NA,5.7,8.35,5.833333333,8.716666667,5,7.1,5.65,7.433333333,5.833333333,7.716666667,5.333333333,8.9,5.166666667,7.416666667,5.45,8.45,5.516666667,NA,7.8,5.183333333,NA,8.766666667,6.716666667,7.366666667,5.333333333,7.683333333,5.1,NA,5.75,4.866666667,NA,NA,NA,8.716666667,4.916666667,NA,5.2,6.3,NA,NA
4,CL:C-010-1:1,8.233333333,5.35,7.516666667,5.833333333,6.1,7.85,5.616666667,8.666666667,8.766666667,7.783333333,5.616666667,8.4,5.533333333,8.316666667,5.416666667,7.916666667,9.583333333,6.05,9.183333333,5.916666667,5.366666667,8.866666667,5.433333333,9.3,5.8,8.116666667,5.4,8.166666667,5.733333333,5.5,6.65,6.733333333,NA,7.633333333,5.183333333,7.6,5.766666667,7.483333333,5.283333333,NA,5.75,8.766666667,5.1,6.933333333,5.7,6.7,NA,7.683333333,6.1,8.283333333,5.8,6.716666667,7.483333333,8.3,7.05,8.3,NA,7.1,9.966666667,NA,7.65,5.516666667,7.316666667,5.666666667,5.333333333,5.133333333,7.65,5.166666667,6.833333333,5.45,7.733333333,5.65,7.483333333,5.333333333,7.316666667,5.166666667,6.666666667,5.616666667,7.733333333,6.483333333,8.15,5.316666667,NA,6.216666667,5.966666667,7.9,5.3,NA,7.5,8.683333333,5.066666667,NA,7.816666667,5.6,5.316666667,NA,7.866666667,6.783333333,6.316666667,NA
5,CL:C-010-2:1,6.066666667,8.2,5.166666667,6.95,7.883333333,5.616666667,6.716666667,7.733333333,5.483333333,7.283333333,5.366666667,7.683333333,5.533333333,7.8,5.033333333,7.916666667,5.7,7.333333333,5.966666667,7.433333333,7.566666667,6,8,6.616666667,7.5,6.15,7.25,5.75,7.35,7.283333333,7.033333333,6.85,5.666666667,7.083333333,5.266666667,6.95,5.416666667,9.716666667,5.183333333,9.35,8.733333333,6.9,7.116666667,8.133333333,5.3,7.65,4.933333333,8.45,5.6,7.166666667,4.833333333,7.75,5.5,9.416666667,5.016666667,9.5,5.116666667,9.55,10.55,NA,5.216666667,5.2,5.3,7.433333333,9.4,8.316666667,4.866666667,9.05,5.633333333,7.633333333,5.216666667,8.2,5.6,8.433333333,4.983333333,7.95,5.116666667,8.216666667,4.8,NA,5.283333333,NA,4.966666667,5.116666667,7.683333333,4.933333333,7.033333333,NA,7.7,8.483333333,5,NA,4.666666667,7.233333333,7.483333333,NA,10.16666667,9.383333333,8.933333333,9.533333333
6,CL:C-010-3:1,5.583333333,6.766666667,7.8,6.033333333,6.666666667,7.45,7.566666667,5.983333333,8.166666667,7.883333333,7.55,7.45,5.816666667,6.966666667,5.416666667,6.583333333,6.25,7.55,NA,7.5,7.666666667,6.983333333,7.116666667,6.716666667,7.616666667,6.833333333,6.966666667,6.683333333,8.016666667,7.65,5.45,7.15,8.3,5.216666667,7.266666667,5.25,7.433333333,5.6,8.383333333,5.65,5.916666667,7.05,7.3,8.783333333,NA,5.966666667,5.5,7.1,7.866666667,6.2,7.183333333,5.45,NA,5.683333333,8.8,5.616666667,NA,9.433333333,9.933333333,NA,8.166666667,6.333333333,7.816666667,6.466666667,7.066666667,5.083333333,8.766666667,5.5,8.083333333,5.566666667,7.25,6.366666667,7.3,5.133333333,7.683333333,5.583333333,8.066666667,NA,5.733333333,7.333333333,NA,6.3,8.866666667,5.283333333,7.7,5.483333333,7.416666667,NA,7.833333333,7.2,5.316666667,NA,5.1,6.2,7.35,NA,5.85,9.8,NA,NA
7,CL:C-040-1:1-1,6.216666667,9.516666667,6.2,8.233333333,8.566666667,6.516666667,8.733333333,5.7,5.95,8.833333333,5.866666667,NA,8.183333333,5.966666667,7.2,5,6.216666667,9.45,6.516666667,6.733333333,7.516666667,6.75,8.083333333,6.666666667,5.55,6.616666667,7.3,6.316666667,6.016666667,7.733333333,5.533333333,6.316666667,6.416666667,8.166666667,5.366666667,7.916666667,5.566666667,9.25,6.083333333,7.716666667,7.133333333,7.816666667,6.216666667,5.916666667,6.133333333,6.3,NA,8.083333333,6.7,7.5,6.583333333,6.266666667,6.766666667,8.7,6.566666667,8.65,6.55,7.5,8.2,NA,5.316666667,7.55,5.383333333,7.666666667,5.4,6.216666667,5.05,7.433333333,5.816666667,6.133333333,6.533333333,7.616666667,5.433333333,6.083333333,5.65,7.333333333,5.833333333,6.85,8.266666667,5.966666667,6.533333333,5.9,NA,5.783333333,6.233333333,5.066666667,5.866666667,NA,6.066666667,7.45,5.116666667,NA,5.783333333,5.3,6.05,NA,8.516666667,9.683333333,5.75,NA
8,CL:C-040-1:1-3,5.75,9.116666667,6.566666667,8.983333333,8.85,6.833333333,9.05,6,5.583333333,8.483333333,5.45,8.983333333,8.566666667,5.65,6.883333333,6.25,6.583333333,9.15,6.866666667,6.4,8.783333333,6.416666667,8.55,6.25,5.933333333,6.266666667,7.6,5.983333333,5.683333333,8.05,5.2,6,6.75,7.866666667,5.066666667,7.6,5.85,9.8,6.583333333,8.033333333,7.483333333,8.116666667,5.9,6.266666667,6.466666667,5.933333333,NA,8.433333333,7.25,6.85,6.916666667,5.883333333,6.4,9.066666667,6.283333333,8.95,6.116666667,7.85,8.55,NA,5.75,7.133333333,5.75,7.3,6.233333333,5.883333333,5.566666667,7.083333333,6.15,6.516666667,6.916666667,8,5.2,6.5,5.183333333,6.866666667,6.183333333,6.433333333,8.633333333,5.633333333,7.116666667,6.25,8.783333333,NA,6.65,5.733333333,6.233333333,NA,6.516666667,7.966666667,5.516666667,NA,5.216666667,6.4,7.6,NA,8.483333333,9.233333333,5.766666667,NA
9,CL:C-040-1:2-1,6.416666667,8.316666667,5.933333333,8.45,9.75,6.233333333,8.6,6.883333333,6.15,7.733333333,6.05,8.283333333,7.983333333,6.133333333,7.4,5.25,6.033333333,8.366666667,6.25,5.483333333,7.716666667,5.5,9.55,5.333333333,6.866666667,5.416666667,8.433333333,5.116666667,6.183333333,8.916666667,5.7,5.233333333,6.2,8.366666667,5.6,8.066666667,6.75,9.05,5.9,7.5,6.966666667,7.666666667,6.4,5.75,7.4,5.166666667,NA,9.166666667,8.35,5.2,7.883333333,4.95,5.483333333,9.9,5.166666667,9.766666667,5.066666667,8.766666667,9.416666667,NA,6.983333333,6.116666667,6.75,6.4,7.1,6.366666667,6.8,6.05,5.566666667,7.383333333,6.333333333,7.4,6.033333333,7.7,5.883333333,5.85,5.583333333,7.083333333,9.616666667,4.75,6.283333333,7.416666667,NA,5.583333333,7.7,7.25,7.316666667,NA,5.866666667,7.15,6.55,NA,6.033333333,5.566666667,6.333333333,NA,9.233333333,9.983333333,5.5,NA
10,CL:C-040-1:2-3,7.05,8.633333333,5.566666667,9.166666667,9.383333333,5.933333333,8.3,6.533333333,6.533333333,8.016666667,6.383333333,8.583333333,7.616666667,6.466666667,7.7,5.666666667,5.683333333,8.666666667,5.866666667,5.866666667,8.033333333,5.916666667,9.133333333,5.666666667,6.5,5.766666667,8.116666667,5.483333333,6.616666667,8.6,6.016666667,5.533333333,5.9,NA,5.816666667,8.4,6.35,8.5,5.5,7.183333333,6.583333333,7.333333333,6.75,5.4,7.05,5.483333333,NA,8.866666667,7.833333333,5.833333333,7.466666667,5.366666667,5.816666667,9.583333333,5.516666667,9.433333333,5.516666667,8.433333333,9.1,NA,6.466666667,6.5,6.433333333,6.733333333,7.683333333,6.75,6.35,6.433333333,5.25,7.116666667,5.916666667,6.983333333,6.383333333,7.283333333,6.3,6.266666667,5.133333333,7.5,9.233333333,5.1,5.716666667,7,9,NA,7.3,6.783333333,6.866666667,NA,5.416666667,6.6,6.133333333,NA,6.516666667,6.083333333,6.85,NA,5.733333333,9.433333333,5.5,NA
11,CL:C-040-2:1-1,7.133333333,6.783333333,6.15,5.983333333,6.816666667,6.633333333,7.583333333,6.1,6.283333333,6.233333333,6.233333333,6.25,6.4,5.383333333,6.4,5.583333333,6.783333333,6.2,7.05,6.283333333,6.283333333,6.833333333,6.416666667,7.516666667,6.533333333,6.9,6.133333333,6.433333333,6.433333333,6.216666667,6.066666667,7.6,6.383333333,6.266666667,6.033333333,6.133333333,5.916666667,8.383333333,5.533333333,8.283333333,6.566666667,5.5,6.1,7.933333333,6.283333333,8.233333333,6.533333333,7.366666667,6.833333333,5.95,6.25,6.316666667,6.45,7.383333333,6.666666667,7.3,10.53333333,5.95,8.933333333,NA,6.416666667,7.016666667,6.2,6.433333333,8.766666667,5.6,5.9,6.683333333,6.45,6.566666667,6.3,6.65,6.666666667,6.733333333,6.133333333,6.833333333,6.383333333,6.333333333,5.833333333,8.966666667,6.35,NA,6.2,9.4,6.25,6.3,5.883333333,NA,8.866666667,6.183333333,6.816666667,NA,6.366666667,6.116666667,4.983333333,NA,9.583333333,7.85,NA,NA
12,CL:C-040-2:1-3,6.75,7.416666667,5.7,6.333333333,7.216666667,6.25,7.2,6.4,5.95,6.6,5.833333333,6.65,6.033333333,5.733333333,6.916666667,5.083333333,6.433333333,6.633333333,6.65,6.7,6.716666667,6.5,7.166666667,7.15,6.9,6.566666667,6.55,6.116666667,6.783333333,6.583333333,6.416666667,7.25,6.066666667,6.566666667,5.7,6.4,5.55,8.766666667,5.116666667,NA,6.916666667,5.2,6.466666667,8.283333333,5.916666667,8.516666667,6.2,7.683333333,6.233333333,6.5,5.75,6.733333333,6.8,7.716666667,6.233333333,7.65,10.11666667,6.283333333,8.55,NA,5.916666667,7.45,5.816666667,6.85,5.566666667,5.116666667,5.5,6.05,6.083333333,6.966666667,5.85,7.283333333,6.266666667,7.083333333,5.7,7.316666667,5.933333333,6.833333333,5.4,9.333333333,5.9,NA,5.75,9.866666667,6.766666667,5.85,6.333333333,NA,8.416666667,6.8,6.216666667,NA,5.616666667,6.683333333,5.933333333,NA,9.066666667,8.35,NA,NA
13,CL:C-040-2:2-1,7.6,6.45,6.366666667,5.8,6.566666667,6.833333333,7.833333333,5.9,6.45,6.033333333,6.433333333,6,6.683333333,6.65,6.4,5.833333333,7,5.966666667,7.3,6.066666667,6.066666667,7.016666667,6.25,7.716666667,6.316666667,7.1,5.933333333,6.616666667,6.233333333,5.933333333,5.883333333,7.783333333,6.55,6.116666667,6.233333333,5.983333333,6.1,8.183333333,5.783333333,8.1,6.383333333,5.683333333,5.9,7.733333333,6.466666667,9.3,5.116666667,8.816666667,7.116666667,5.95,6.716666667,6.133333333,6.25,9.266666667,4.933333333,8.966666667,10.71666667,5.766666667,9.133333333,NA,6.716666667,6.8,6.383333333,6.216666667,6.65,6,6.1,7.116666667,6.633333333,6.333333333,6.533333333,5.666666667,6.883333333,6.5,6.4,6.216666667,6.666666667,5.833333333,6.066666667,8.766666667,6.55,NA,6.433333333,10.18333333,5.916666667,6.55,5.616666667,NA,9.116666667,5.883333333,NA,NA,6.75,5.766666667,5.283333333,NA,9.183333333,9.15,NA,NA
