,SS,X0_1,X0_2,X0_3,X0_4,X1_1,X1_2,X1_3,X1_4,X2_1,X2_2,X2_3,X2_4,X3_1,X3_2,X3_3,X3_4,X4_1,X4_2,X4_3,X4_4,X5_1,X5_2,X5_3,X5_4,X6_1,X6_2,X6_3,X6_4,X7_1,X7_2,X7_3,X7_4,X8_1,X8_2,X8_3,X8_4,X9_1,X9_2,X9_3,X9_4,X10_1,X10_2,X10_3,X10_4,X12_1,X12_2,X12_3,X12_4,X13_1,X13_2,X13_3,X13_4,X14_1,X14_2,X14_3,X14_4,X15_1,X15_2,X15_3,X15_4,X16_1,X16_2,X16_3,X16_4,X17_1,X17_2,X17_3,X17_4,X18_1,X18_2,X18_3,X18_4,X19_1,X19_2,X19_3,X19_4,X20_1,X20_2,X20_3,X20_4,X21_1,X21_2,X21_3,X21_4,X22_1,X22_2,X22_3,X22_4,X23_1,X23_2,X23_3,X23_4,X24_1,X24_2,X24_3,X24_4,X25_1,X25_2,X25_3,X25_4
1,CL:C-001-1:1,137,147,157,167,137,NA,157,166,137,149,159,NA,NA,148,158,168,136,146,NA,NA,138,147,158,NA,137,147,156,NA,NA,148,156,168,138,149,158,NA,139,148,160,NA,141,151,NA,NA,140,148,NA,169,142,151,162,172,141,151,161,172,149,156,NA,NA,155,161,174,180,155,161,166,NA,152,160,NA,NA,152,158,165,175,NA,167,174,179,151,158,NA,170,155,162,176,NA,148,171,180,NA,157,170,176,NA,166,NA,176,NA
2,CL:C-001-2:1,138,148,158,169,139,NA,160,167,138,150,160,171,139,150,160,170,139,148,158,168,139,148,159,169,138,148,157,168,140,150,159,170,137,147,159,178,139,149,159,170,140,151,163,169,140,148,159,169,141,150,161,171,140,150,160,171,148,155,170,NA,154,160,172,179,NA,160,166,171,151,158,NA,174,150,158,164,174,157,167,174,179,149,NA,169,180,155,164,174,NA,151,171,179,NA,155,172,185,NA,165,169,180,NA
3,CL:C-001-3:1,139,158,168,NA,139,150,161,167,NA,150,160,171,140,NA,NA,NA,140,NA,160,171,NA,149,160,170,139,149,158,169,140,151,159,172,NA,153,160,171,138,NA,160,169,140,152,161,169,NA,146,159,169,139,149,159,170,139,149,159,169,150,157,169,NA,153,159,171,178,153,159,165,169,148,157,163,172,148,156,162,172,159,NA,176,180,NA,154,165,174,152,164,175,NA,147,162,NA,NA,NA,173,179,NA,156,171,NA,NA
4,CL:C-010-1:1,137,147,157,167,137,148,157,166,137,149,159,170,137,148,158,168,136,146,156,166,138,147,158,168,137,147,156,167,137,148,156,168,NA,149,158,172,139,148,160,NA,141,151,162,170,140,148,NA,169,142,151,162,172,141,151,161,172,NA,156,171,NA,155,161,174,180,155,161,166,171,152,160,168,176,152,158,165,175,155,167,174,179,151,158,NA,170,155,162,176,NA,148,171,180,NA,157,170,176,NA,166,171,176,NA
5,CL:C-010-2:1,138,148,158,169,139,150,160,167,138,150,160,171,139,150,160,170,139,148,158,168,139,148,159,169,138,148,157,168,140,150,159,170,137,147,159,178,139,148,161,169,140,151,163,169,140,146,157,167,141,150,161,171,137,147,157,167,150,157,170,NA,154,160,172,179,153,160,166,171,150,158,162,174,150,158,164,174,157,164,174,NA,149,NA,169,178,155,164,174,NA,151,171,175,NA,159,170,185,NA,165,172,169,180
6,CL:C-010-3:1,139,158,168,179,139,150,161,167,138,150,160,171,140,151,161,173,140,149,NA,171,140,149,160,170,139,149,158,169,140,151,159,172,140,153,160,171,138,149,160,169,140,152,161,169,NA,146,159,169,139,149,159,170,NA,149,159,169,NA,157,169,NA,153,159,171,178,153,159,165,169,148,157,163,172,148,156,162,172,159,NA,176,180,NA,154,165,174,152,164,175,NA,147,162,176,NA,159,172,179,NA,156,171,NA,NA
7,CL:C-040-1:1-1,137,147,157,167,137,148,157,166,137,149,159,NA,137,148,158,169,136,146,156,166,138,147,158,168,137,146,155,166,137,148,156,168,138,149,159,169,139,149,161,170,141,151,162,170,140,148,NA,169,142,151,162,172,141,151,161,172,149,156,171,NA,155,161,174,180,155,161,166,171,152,160,168,176,152,158,165,175,155,167,174,179,151,158,NA,170,155,162,176,NA,148,172,181,NA,157,170,176,NA,166,170,176,NA
8,CL:C-040-1:1-3,137,147,157,167,137,148,157,166,137,149,159,170,137,148,158,169,136,146,156,166,138,147,158,168,137,146,155,166,137,148,156,168,138,149,159,169,139,149,161,170,141,151,162,170,140,148,NA,169,142,151,162,172,141,151,161,172,149,156,171,NA,155,161,174,180,155,161,166,171,152,160,168,176,152,158,165,175,155,167,174,179,151,158,166,NA,155,162,176,NA,148,172,181,NA,157,170,176,NA,166,170,176,NA
9,CL:C-040-1:2-1,137,147,157,167,137,148,157,166,137,149,159,170,137,148,158,169,136,146,156,166,138,147,158,168,137,146,155,166,137,148,156,168,138,149,159,169,139,149,161,170,141,151,162,170,140,148,NA,169,142,151,162,172,141,151,161,172,149,156,171,NA,155,161,174,180,155,161,166,171,152,160,168,176,152,158,165,175,155,167,174,179,151,158,NA,170,155,162,176,NA,148,172,181,NA,157,170,176,NA,166,170,176,NA
10,CL:C-040-1:2-3,137,147,157,167,137,148,157,166,137,149,159,170,137,148,158,169,136,146,156,166,138,147,158,168,137,146,155,166,137,148,156,168,138,NA,159,169,139,149,161,170,141,151,162,170,140,148,NA,169,142,151,162,172,141,151,161,172,149,156,171,NA,155,161,174,180,155,161,166,171,152,160,168,176,152,158,165,175,155,167,174,179,151,158,166,NA,155,162,176,NA,148,172,181,NA,157,170,176,NA,166,170,176,NA
