SS,YYYY,MM,DD,HR,MIN,mm/dd/yyy,JULIAN,WEEK,StartTime,Sunrise_Time,JDY_GSS,NUM_DAYS_GSS,MIN_SUN
CL:C-001-1:1,1993,5,17,8,33,1993-05-17,137,21,1900-01-00,1/0/1900,110,27,191
CL:C-001-1:1,1993,5,27,5,10,1993-05-27,147,22,1900-01-00,1/0/1900,110,37,3
CL:C-001-1:1,1993,6,6,7,45,1993-06-06,157,24,1900-01-00,1/0/1900,110,47,168
CL:C-001-1:1,1993,6,16,5,15,1993-06-16,167,25,1900-01-00,1/0/1900,110,57,22
CL:C-001-1:1,1993,6,26,9,7,1993-06-26,177,26,1900-01-00,1/0/1900,110,67,252
CL:C-001-1:1,1994,5,17,5,52,1994-05-17,137,21,1900-01-00,1/0/1900,110,27,30
CL:C-001-1:1,1994,5,28,8,2,1994-05-28,148,22,1900-01-00,1/0/1900,110,38,176
CL:C-001-1:1,1994,6,6,5,25,1994-06-06,157,24,1900-01-00,1/0/1900,110,47,28
CL:C-001-1:1,1994,6,15,8,16,1994-06-15,166,25,1900-01-00,1/0/1900,110,56,203
CL:C-001-1:1,1994,6,26,5,23,1994-06-26,177,27,1900-01-00,1/0/1900,110,67,28
CL:C-001-1:1,1995,5,17,8,33,1995-05-17,137,20,1900-01-00,1/0/1900,110,27,191
CL:C-001-1:1,1995,5,29,8,0,1995-05-29,149,22,1900-01-00,1/0/1900,110,39,175
CL:C-001-1:1,1995,6,8,5,19,1995-06-08,159,23,1900-01-00,1/0/1900,110,49,23
CL:C-001-1:1,1995,6,19,8,13,1995-06-19,170,25,1900-01-00,1/0/1900,110,60,200
CL:C-001-1:1,1995,6,29,5,46,1995-06-29,180,26,1900-01-00,1/0/1900,110,70,49
CL:C-001-1:1,1996,5,16,5,45,1996-05-16,137,20,1900-01-00,1/0/1900,110,27,22
CL:C-001-1:1,1996,5,27,7,58,1996-05-27,148,22,1900-01-00,1/0/1900,110,38,172
CL:C-001-1:1,1996,6,6,5,40,1996-06-06,158,23,1900-01-00,1/0/1900,110,48,43
CL:C-001-1:1,1996,6,16,7,42,1996-06-16,168,25,1900-01-00,1/0/1900,110,58,169
CL:C-001-1:1,1996,6,26,5,32,1996-06-26,178,26,1900-01-00,1/0/1900,110,68,37
CL:C-001-1:1,1997,5,16,9,22,1997-05-16,136,20,1900-01-00,1/0/1900,110,26,239
CL:C-001-1:1,1997,5,26,5,46,1997-05-26,146,22,1900-01-00,1/0/1900,110,36,38
CL:C-001-1:1,1997,6,15,5,42,1997-06-15,166,25,1900-01-00,1/0/1900,110,56,49
CL:C-001-1:1,1997,6,26,9,49,1997-06-26,177,26,1900-01-00,1/0/1900,110,67,294
CL:C-001-1:1,1998,5,18,5,34,1998-05-18,138,21,1900-01-00,1/0/1900,110,28,14
CL:C-001-1:1,1998,5,27,8,38,1998-05-27,147,22,1900-01-00,1/0/1900,110,37,211
CL:C-001-1:1,1998,6,7,5,45,1998-06-07,158,24,1900-01-00,1/0/1900,110,48,49
CL:C-001-1:1,1998,6,17,9,2,1998-06-17,168,25,1900-01-00,1/0/1900,110,58,249
CL:C-001-1:1,1998,6,29,5,55,1998-06-29,180,27,1900-01-00,1/0/1900,110,70,58
CL:C-001-1:1,1999,5,17,6,0,1999-05-17,137,21,1900-01-00,1/0/1900,110,27,38
CL:C-001-1:1,1999,5,27,7,55,1999-05-27,147,22,1900-01-00,1/0/1900,110,37,168
