,SS,YEAR,NEAR.DIST.conventional.seismic,NEAR.DIST.unimproved.road,NEAR.DIST.harvest,NEAR.DIST.pipeline,MEANAGE.565.harvest,treatment,harvest_interaction
1,CL:C-001-1:1,2000,0.021503934,1,0.413920163,1,0.039406278,control,0.016311053
2,CL:C-001-1:1,2001,0.021503934,1,0.413920163,1,0.049257848,control,0.020388816
3,CL:C-001-1:1,2002,0.021503934,1,0.413920163,1,0.059109417,control,0.02446658
4,CL:C-001-1:1,2003,0.021503934,1,0.413920163,1,0.068960987,control,0.028544343
5,CL:C-001-1:1,2005,0.021503934,1,0.413920163,1,0.088664126,control,0.036699869
6,CL:C-001-1:1,2006,0.021503934,1,0.413920163,1,0.098515695,control,0.040777633
7,CL:C-001-1:1,2007,0.021503934,1,0.413920163,1,0.108367265,control,0.044855396
8,CL:C-001-1:1,2008,0.021503934,1,0.413920163,1,0.118218835,control,0.048933159
9,CL:C-001-1:1,2009,0.021503934,1,0.413920163,1,0.128070404,control,0.053010922
10,CL:C-001-1:1,2010,0.021503934,1,0.413920163,1,0.137921974,control,0.057088686
11,CL:C-001-1:1,2011,0.021503934,1,0.413920163,1,0.147773543,control,0.061166449
12,CL:C-001-1:1,2012,0.021503934,1,0.413920163,1,0.157625113,control,0.065244212
13,CL:C-001-1:1,2014,0.021503934,1,0.413920163,1,0.177328252,control,0.073399739
14,CL:C-001-1:1,1993,0.318890549,1,1,1,1,control,1
15,CL:C-001-1:1,1994,0.318890549,1,1,1,1,control,1
16,CL:C-001-1:1,1995,0.318890549,1,1,1,1,control,1
17,CL:C-001-1:1,1996,0.318890549,1,0.413920163,1,0,control,0
18,CL:C-001-1:1,1997,0.318890549,1,0.413920163,1,0.00985157,control,0.004077763
19,CL:C-001-1:1,1998,0.318890549,1,0.413920163,1,0.019703139,control,0.008155527
20,CL:C-001-1:1,1999,0.021503934,1,0.413920163,1,0.029554709,control,0.01223329
21,CL:C-001-2:1,2000,0.2303354,0.348544595,0.455364937,0.172468889,0.049257848,control,0.022430297
22,CL:C-001-2:1,2001,0.2303354,0.348544595,0.455364937,0.172468889,0.059109417,control,0.026916356
